Company,Revenue,Year
Company_82,—,2018
Company_15,1.1M,2023
Company_4,—,2023
Company_95,—,FY2021
Company_36,,2018
Company_32,"9,625",2021
Company_29,"£7,520",FY2020
Company_18,"19,211",2018 
Company_95,"£8,462",2024
Company_14,8.1M,FY2024
Company_87,N/A,FY2021
Company_95,—,2023
Company_115,"14,379",FY2019
Company_70,"2,275",2022
Company_12,"£3,724",2018
Company_76,—,2018
Company_55,8.0M,2021
Company_5,—,2024
Company_4,N/A,2024
Company_12,"5,093",2021
Company_28,"9,627",2020
Company_30,"2,970",2021
Company_65,"18,533",FY2022
Company_78,—,FY2023
Company_4,"£18,213",2024 
Company_72,9.6M,2019 
Company_26,8245,FY2018
Company_92,N/A,2019
Company_84,"7,504",FY2019
Company_90,2421,2021
Company_70,N/A,2021 
Company_54,—,2019 
Company_29,"15,409",2020
Company_58,,FY2021
Company_76,"£18,711",2019
Company_36,"£16,447",2024
Company_104,N/A,2022
Company_112,,2019
Company_1,19478,2022 
Company_98,1.1M,2019
Company_104,,FY2024
Company_21,—,FY2018
Company_90,"17,903",2020
Company_55,N/A,2024
Company_44,3125,2020
Company_36,2745,2021
Company_20,"£8,207",2023
Company_28,"19,167",2020
Company_98,N/A,2021
Company_44,"£3,186",FY2022
Company_14,"19,625",2021
Company_12,"£10,866",2022 
Company_49,7193,2018 
Company_13,"£10,795",2023
Company_46,N/A,2022
Company_109,"10,330",2018
Company_45,"2,877",2023
Company_78,—,FY2022
Company_34,"£18,948",FY2024
Company_104,2900,2022
Company_6,"17,076",FY2020
Company_94,,2022
Company_59,2754,2024
Company_69,12608,2018
Company_16,,2021
Company_119,"18,300",FY2023
Company_49,6.2M,2019
Company_11,17832,2023
Company_71,—,2023
Company_38,3.3M,2024
Company_107,"£4,900",2018
Company_81,,2020 
Company_80,18628,2018
Company_114,N/A,2021
Company_111,,2024
Company_47,N/A,2023
Company_74,,2021
Company_25,"£9,150",2019
Company_91,"8,728",2022
Company_9,2164,2023
Company_6,—,2018 
Company_85,"9,566",FY2022
Company_30,—,2020
Company_99,,2023
Company_38,—,2018
Company_11,5794,2022
Company_110,5.7M,FY2023
Company_30,816,FY2022
Company_111,—,FY2021
Company_13,5384,2024
Company_49,"12,598",2021
Company_36,"£5,352",2023
Company_59,"1,870",2021
Company_82,,2020
Company_107,1807,2020
Company_47,7383,2021
Company_21,"£3,868",2019
Company_48,"18,846",2019
Company_46,13816,2022
Company_27,5564,2019
Company_86,8257,2020
Company_35,6301,2024
Company_90,1312,2024
Company_120,N/A,FY2024
Company_88,13991,2023 
Company_83,8.6M,2022
Company_10,3.0M,2023
Company_78,1.5M,2019
Company_82,15923,2021
Company_22,N/A,2022
Company_69,4.8M,2021
Company_94,,2020
Company_32,2.6M,2023 
Company_21,—,2021 
Company_60,N/A,2024
Company_49,,2020
Company_35,9646,2023
Company_119,"17,192",2021
Company_82,"18,070",2023
Company_89,,2023
Company_72,—,2021
Company_29,9059,2019
Company_88,N/A,2022
Company_42,9198,2018
Company_108,—,FY2021
Company_99,"£11,827",FY2021
Company_100,3.4M,2019
Company_8,"£17,258",2023
Company_30,—,2018
Company_106,6728,2020
Company_5,,2023
Company_104,0.5M,2018
Company_41,18143,2024
Company_52,"£6,956",2022
Company_35,"2,792",2020
Company_9,11319,2024
Company_28,"£4,583",FY2022
Company_117,3.3M,2018 
Company_73,,2023
Company_113,"13,685",2019
Company_92,"£18,666",2021
Company_41,—,2024
Company_28,"12,923",FY2024
Company_84,"£6,202",2019
Company_64,"£10,361",FY2018
Company_51,513,FY2024
Company_114,,2020
Company_118,N/A,2019 
Company_83,6.2M,2021
Company_59,,FY2024
Company_19,"7,502",FY2019
Company_34,"6,060",2024
Company_18,"£9,799",2023 
Company_32,"11,483",FY2022
Company_96,—,2021
Company_72,8196,2021 
Company_69,"£7,861",2018
Company_34,1.9M,2021
Company_96,—,2023
Company_75,2886,2018
Company_55,"19,363",2020
Company_115,N/A,2020
Company_75,"£16,699",2021
Company_52,"5,335",2021
Company_47,£681,2019
Company_29,3992,2024
Company_18,2.6M,2019
Company_66,7.0M,2020
Company_64,"18,765",2023 
Company_12,N/A,2024
Company_97,4.8M,FY2020
Company_7,6.8M,2024
Company_111,10897,2023
Company_15,15002,2022
Company_20,"£17,040",2024
Company_81,"18,452",2020
Company_21,"5,715",2019
Company_102,5.0M,2020 
Company_88,,2019
Company_55,N/A,2023
Company_77,"£17,581",2024
Company_9,"8,339",FY2024
Company_50,,2018
Company_49,—,FY2023
Company_77,,2024
Company_60,,2022
Company_68,,FY2019
Company_33,"5,034",2020
Company_71,N/A,FY2021
Company_111,"5,507",2019
Company_2,1.1M,2020
Company_88,"18,280",2020
Company_93,"2,540",2020
Company_15,N/A,2021
Company_88,"19,639",2020
Company_114,1140,2020
Company_69,19364,2021
Company_97,693,2019
Company_35,10284,2019
Company_99,8.5M,2023
Company_83,14230,2021
Company_44,"18,395",2024
Company_15,8.9M,2018
Company_38,"9,443",2018 
Company_56,"1,451",2018
Company_21,"13,748",2023
Company_59,8.4M,2020
Company_1,18002,2024
Company_93,—,FY2020
Company_113,"18,993",2019
Company_93,"£3,250",2022
Company_34,"£4,946",2022
Company_65,6454,2022 
Company_98,—,2018
Company_23,"7,435",2021
Company_65,"11,559",2020
Company_117,4.1M,FY2018
Company_14,8.3M,2018
Company_112,,FY2021
Company_81,—,2019
Company_39,—,2019
Company_108,"11,967",2020
Company_82,N/A,2023
Company_65,—,2022
Company_78,1819,2023
Company_26,9.4M,2021
Company_20,N/A,2024
Company_48,—,2021
Company_98,N/A,FY2020
Company_21,—,2020 
Company_70,"£18,980",2021
Company_100,15738,2024
Company_119,"£12,587",2023
Company_68,N/A,2023
Company_118,"£4,253",2021 
Company_1,2.0M,2018
Company_77,,2024
Company_42,"£10,722",2023 
Company_63,"£12,798",2023
Company_3,"6,998",FY2018
Company_15,—,2020 
Company_119,"£8,457",2019
Company_47,—,FY2019
Company_113,8.5M,2024
Company_107,"£4,466",2022 
Company_104,5.8M,2024 
Company_40,—,FY2024
Company_31,"12,642",FY2022
Company_8,—,2024
Company_31,£914,2019
Company_113,8.2M,FY2024
Company_73,—,2023
Company_11,15564,FY2019
Company_11,4.6M,2024
Company_94,9.6M,2022
Company_63,,2019 
Company_105,5.6M,2019
Company_9,"14,772",FY2022
Company_98,6.1M,2018
Company_69,,2024
Company_99,N/A,FY2022
Company_17,9639,2022 
Company_17,8490,FY2022
Company_85,5.9M,2024
Company_61,"£11,523",2023
Company_71,—,2021
Company_22,6458,FY2018
Company_34,"12,126",2021
Company_68,3.7M,2021
Company_112,9552,2021
Company_78,"£17,428",FY2021
Company_55,3305,2018
Company_28,N/A,FY2019
Company_119,"18,692",2020
Company_70,7.0M,2022
Company_97,"£16,583",2020
Company_94,"1,065",2022
Company_89,—,2021
Company_26,N/A,FY2021
Company_92,"£10,533",FY2023
Company_40,"£12,592",2023
Company_52,"17,897",2024
Company_86,,2024 
Company_84,18535,2021
Company_48,,2021
Company_57,3.0M,2021
Company_116,,FY2023
Company_67,—,2021
Company_58,N/A,2020
Company_16,—,2019
Company_32,"6,566",FY2021
Company_29,N/A,FY2024
Company_9,3.1M,FY2021
Company_44,"£17,691",2023
Company_3,"£3,794",2019
Company_76,3.3M,2022
Company_71,"10,404",2022
Company_30,—,2018
Company_76,"9,488",2024
Company_29,—,2024
