Company,Revenue,Year
Company_72,9600000.0,2019
Company_94,9600000.0,2022
Company_26,9400000.0,2021
Company_15,8900000.0,2018
Company_83,8600000.0,2022
Company_99,8500000.0,2023
Company_113,8500000.0,2024
Company_59,8400000.0,2020
Company_14,8300000.000000001,2018
Company_113,8199999.999999999,2024
Company_14,8100000.0,2024
Company_55,8000000.0,2021
Company_66,7000000.0,2020
Company_70,7000000.0,2022
Company_7,6800000.0,2024
Company_83,6200000.0,2021
Company_49,6200000.0,2019
Company_98,6100000.0,2018
Company_85,5900000.0,2024
Company_104,5800000.0,2024
Company_110,5700000.0,2023
Company_105,5600000.0,2019
Company_102,5000000.0,2020
Company_69,4800000.0,2021
Company_97,4800000.0,2020
Company_11,4600000.0,2024
Company_117,4099999.9999999995,2018
Company_68,3700000.0,2021
Company_100,3400000.0,2019
Company_76,3300000.0,2022
Company_38,3300000.0,2024
Company_117,3300000.0,2018
Company_9,3100000.0,2021
Company_57,3000000.0,2021
Company_10,3000000.0,2023
Company_32,2600000.0,2023
Company_18,2600000.0,2019
Company_1,2000000.0,2018
Company_34,1900000.0,2021
Company_78,1500000.0,2019
Company_2,1100000.0,2020
Company_98,1100000.0,2019
Company_15,1100000.0,2023
